previous utterance by the teller	drawer's utterance	next utterance by the teller	is CR?	impossible to know?
there is a large pine tree on the right side with top and right side not showing in the picture .	ok . is the trunk showing at all ?	yes the trunk is showing . the tree is a little over an inch from the bottom	1	
it must be behind the beer	oh shoot i had the wrong tree	haha no problem , to the right of the bear is a large sandbox	0	
boy sitting facing left shocked colorful hat holding hot dog in left hand	where is boy sitting	can in front of him on left	1	
ok , on the left side , nearly touching the horizon line is the grill . it is halfway out of the frame .	two of the legs are visible ?	yes . about 1 . 5 inches to the right of the grill is the girl . she is facing right . arms in front , angry face .	1	
a little to the left diagonal from his foot is a soccer ball	are you sure he 's medium ?	pretty sure . ill correct after if im incorrect . there is a girl on the left running facing right . back foot pretty much touching edge .	0	
i do n't know what they 're running from but yes they are and facing right and that 's it let me check	ok let me know if i need to do anything to my picture	i could n't see anything ? i do n't know why	0	
boy in front of tree , 1 2 in from left edge , smiling arms in front . back arm almost touches mid tree trunk . balloons in back hand	which boy is it ?	smiling boy , arm out in front of him . facing right .	1	
ok guy is facing left	he is facing left , , do you mean right	balloons are on his right and tuck the sun into the corner so the top and left side are obscured	1	
right side happy girl standing half her body is lining with horizon smiling and hands in air facing mike	does she have both hands in the air ? anything else ?	next to her right leg big cat facing left and i can check	1	
heli top right , table middle , with cat then ketchup then pizza	how big is the help , what direction is it flying . which way is the cat looking , is cat on left ?	girl hands up surprised on the left and dude on the right waving , open mouth , flying right medium i guess , cat right	1	
small bear facing boy , paw touching tree feet touching top of picnic table . then done .	so table is on the left ? ? ? ?	table is centered , on bottom .	1	
oh no so many corrections needed . everything has to be on the opposite sides and girl should be smallest size i think	ok i put girl on the right and small	right side is hot air balloon duck dog and girl near the duck and left is boy	0	
a tree right behind the table to the right , small one	ok . got it . thanks !		0	
	h	hi , swing set on smallest setting facing right , red v part on left of swing the top of v is hitting grass line	0	
there is also a small swing set on the left side . it cuts off at the upper joint of the legs .	so bolt really left and swing to	yes , exactly .	1	
there are two kids playing . a boy and a girl . they are outside on the grass	who is on what side ?	the girl is on the right . she is kneeling and holding balloons	1	
just peeked sun i s on the other side	oops	it looks pretty good though	0	
they are facing left sorry i not that wrong they are facing left to your left	okay . thanks . the boy is outside the swing on her right , beside the basketball ?	let 's peep	0	
	halo friend	a medium sun is on the left , 1 2 inch form frame .	0	
tree behind jenny medium ? she overlaps the left side of the tree partially	pine or oak	small hot air top right touching right edge top is cut off	1	
i can only look once . but if the leaves are just above the horizon , that should be good . just make sure mike is covering the tree 's hole .	ok done . thank you again .	great , thanks !	0	
make sun smaller move dog and frisbee to right side of picture	dog facing left ?	facing the kids on right side of screen	1	
no it only lets you look once	ok i moved it more up so the tree is sitting on top of the grass instead of middle	ok	0	
what size is the tent and the tree that you set sorry already looked	tent is large	the tree , bucket and tent are too large	0	
---	om	---	0	
middle of grass next to slide boy medium size running facing right with a baseball coming out of his hand a little up	his facial expression ?	smiling no teeth . then right side bit behind 3 4 in sly is a small apple tree	1	
then it 's done	is the table right edge below the grass line ?	yes by about 1 4 inch or a little less	0	
on left facing left , i wrote that in 2 .	my mistake i missed it . is he close to edge or tree ?	big smiling running jenny on right facing right , eyebrows at horizon , his hair on right is less than 1 4 in away	0	
---	ok any other items ?	---	0	
---	what size is it ?	---	0	
sun upper left , 1 4 cut off , the pine tree far right	is the pine tree and sun fully visible ?	from left to right , sandbox , then girl running with soda , the dude far right under tree reaching left	1	
medium boy sitting smack in middle horizon equal to ears , facing right , sunglasses holding soda in left hand	is boy sitting indian style or legs out front ?	indian style	1	
there is a small apple tree to your left hand side it half in the blue	is any of it off the left edge ?	straight down from the tree boys head is hitting the trunk has arms out and running to the right	1	
	what is on the left side of this picture ?	left side big bear facing right wearing chef hat . its finger touches the edge and armpits line horizon	0	
no , legs out in front of him . there is an oak tree to his left . his right hand covers the middle base of the trunk .	is that all ? ?	above the tree and the boy are a large white cloud and a large rocket , facing right . the flames almost touch the tree .	0	
